Genotype ID,Accession,Genotype,Rep,Leaf_num,CHLp1,CHLp2,CHLp3,FW,LA,DW,SLA,THCK,LWC
GREENLEAF,PI 659692,1,1,1,367.4,472.9,399.7,4.45,281.59,1.11,253.684684684685,63.2786516853933,75.0561797752809
GREENLEAF,PI 659692,1,1,2,399.7,739.3,357.8,3.45,225.36,0.99,227.636363636364,65.3217391304348,71.304347826087
GREENLEAF,PI 659692,1,1,3,439.2,362.3,347.7,1.65,125.04,0.48,260.5,75.7818181818182,70.9090909090909
GREENLEAF,PI 659692,1,2,1,447.1,141.9,160.9,4.45,249.96,1.06,235.811320754717,56.1707865168539,76.1797752808989
GREENLEAF,PI 659692,1,2,2,325.2,481,322.5,1.9,144.58,0.55,262.872727272727,76.0947368421053,71.0526315789474
GREENLEAF,PI 659692,1,2,3,333,346.3,279.1,1.7,130.77,0.49,266.877551020408,76.9235294117647,71.1764705882353
SAP-167,PI 597967,2,1,1,765.9,749.8,761.5,15.3,588.12,4.09,143.794621026895,38.4392156862745,73.2679738562092
SAP-167,PI 597967,2,1,2,791.1,750.9,501.3,16.7,646.58,4.34,148.981566820277,38.7173652694611,74.0119760479042
SAP-167,PI 597967,2,1,3,,,,,,,,,
SAP-167,PI 597967,2,2,1,797.1,303.5,181.5,15.95,643.15,4.93,130.456389452333,40.3228840125392,69.0909090909091
SAP-167,PI 597967,2,2,2,640.5,476.5,352.9,18.45,673.98,5.01,134.526946107784,36.530081300813,72.8455284552846
SAP-167,PI 597967,2,2,3,308.1,507,115,15.05,573.64,4.01,143.052369077307,38.1156146179402,73.3554817275748
SRN39,PI 656 27,3,1,1,,,,,,,,,
SRN39,PI 656 27,3,1,2,,,,,,,,,
SRN39,PI 656 27,3,1,3,,,,,,,,,
SRN39,PI 656 27,3,2,1,,,,,,,,,
SRN39,PI 656 27,3,2,2,,,,,,,,,
SRN39,PI 656 27,3,2,3,,,,,,,,,
N'Tenimissa,PI 656 54,4,1,1,458.5,453.9,451.7,12.25,518.72,3.83,135.436031331593,42.3444897959184,68.734693877551
N'Tenimissa,PI 656 54,4,1,2,539.8,636.5,612.7,14.1,592.48,4.7,126.059574468085,42.0198581560284,66.6666666666667
N'Tenimissa,PI 656 54,4,1,3,533,582.8,600.9,15.15,677.34,4.8,141.1125,44.7089108910891,68.3168316831683
N'Tenimissa,PI 656 54,4,2,1,621.2,647.2,733.1,11.7,466.95,3.19,146.379310344828,39.9102564102564,72.7350427350427
N'Tenimissa,PI 656 54,4,2,2,684,745.8,736.3,13.55,357.58,3.92,91.219387755102,26.389667896679,71.070110701107
N'Tenimissa,PI 656 54,4,2,3,746.7,760,626.8,15.1,662.7,4.29,154.475524475524,43.8874172185431,71.5894039735099
Lakahiri,PI 656 66,5,1,1,,,,,,,,,
Lakahiri,PI 656 66,5,1,2,,,,,,,,,
Lakahiri,PI 656 66,5,1,3,,,,,,,,,
Lakahiri,PI 656 66,5,2,1,,,,,,,,,
Lakahiri,PI 656 66,5,2,2,,,,,,,,,
Lakahiri,PI 656 66,5,2,3,,,,,,,,,
RTx2909,PI 598 69,6,1,1,214.5,217.7,244.8,7.45,312.64,1.94,161.154639175258,41.9651006711409,73.9597315436242
RTx2909,PI 598 69,6,1,2,222.4,232.1,265.9,6.6,296,1.71,173.099415204678,44.8484848484849,74.0909090909091
RTx2909,PI 598 69,6,1,3,280.4,337.5,271.2,6.1,251.19,1.43,175.657342657343,41.1786885245902,76.5573770491803
RTx2909,PI 598 69,6,2,1,371.4,668.1,433.3,6.1,271.75,1.38,196.920289855072,44.5491803278689,77.3770491803279
RTx2909,PI 598 69,6,2,2,367.4,416.6,496.8,7.4,265.72,1.7,156.305882352941,35.9081081081081,77.027027027027
RTx2909,PI 598 69,6,2,3,264.6,335.2,349,5.45,205.37,1.21,169.727272727273,37.6825688073395,77.7981651376147
