,0
0,X735
1,X740
2,X450
3,X745
4,X730
5,X1395
6,X725
7,X455
8,X1000
9,X755
10,X720
11,X675
12,X750
13,X680
14,X460
15,X715
16,X2325
17,X930
18,X1130
19,X830
20,X1120
21,X825
22,X1090
23,X480
24,X1380
25,X915
26,X1125
27,X1085
28,X760
29,X1080
30,X1315
31,X710
32,X925
33,X840
34,X940
35,X765
36,X835
37,X935
38,X845
39,X1170
40,X850
41,X1075
42,X1385
43,X670
44,X1095
45,X945
46,X1100
47,X1135
48,X1400
49,X1345
50,X2060
51,X1370
52,X820
53,X785
54,X1390
55,X1065
56,X995
57,X910
58,X815
59,X1115
60,X695
61,X1110
62,X855
63,X700
64,X2065
65,X920
66,X1375
67,X1105
68,X805
69,X980
70,X485
71,X780
72,X1060
73,X475
74,X810
75,X890
76,X2135
77,X1405
78,X2140
79,X1005
80,X1340
81,X690
82,X1010
83,X2155
84,X470
85,X465
86,X950
87,X1045
88,X800
89,X770
90,X1410
91,X1855
92,X705
93,X1145
94,X2130
95,X775
96,X1025
97,X1015
98,X1355
99,X790
100,X795
101,X1070
102,X2055
103,X860
104,X965
105,X2150
106,X1490
107,X990
108,X960
109,X2145
110,X685
111,X1485
112,X2170
113,X1860
114,X1360
115,X1365
116,X1140
117,X1050
118,X985
119,X1020
120,X1335
121,X1495
122,X1270
123,X905
124,X2320
125,X970
126,X1900
127,X1260
128,X1275
129,X1280
130,X975
131,X1265
132,X1295
133,X1425
134,X2485
135,X1285
136,X895
137,X2120
138,X1350
139,X1290
140,X1415
141,X1905
142,X1325
143,X880
144,X1040
145,X885
146,X2115
147,X2085
148,X1305
149,X1470
150,X865
151,X1880
152,X1430
153,X1055
154,X2110
155,X955
156,X1515
157,X1300
158,X1885
159,X1420
160,X2495
161,X875
162,X1330
163,X2330
164,X1865
165,X1890
166,X900
167,X1150
168,X1255
169,X1035
170,X2125
171,X2075
172,X870
173,X1500
174,X1310
175,X490
176,X2160
177,X1505
178,X2080
179,X1180
180,X2090
181,X2315
182,X2070
183,X510
184,X1875
185,X2490
186,X2100
187,X2175
188,X1030
189,X1480
190,X650
191,X1165
192,X1920
193,X1520
194,X2270
195,X2180
196,X1525
197,X2340
198,X1435
199,X2105
200,X665
201,X1895
202,X1530
203,X2165
204,X2280
205,X515
206,X1915
207,X2275
208,X1320
209,X1235
210,X1465
211,X520
212,X500
213,X2390
214,X1570
215,X2185
216,X655
217,X1155
218,X1510
219,X1545
220,X495
221,X1475
222,X1450
223,X1870
224,X2245
225,X660
226,X1575
227,X1560
228,X1930
229,X505
230,X2310
231,X555
232,X2335
233,X570
234,X1565
235,X2355
236,X1935
237,X1910
238,X1695
239,X2050
240,X1705
241,X2345
242,X540
243,X2190
244,X1250
245,X2095
246,X1590
247,X1690
248,X2295
249,X2035
250,X2265
251,X1960
252,X1845
253,X1940
254,X645
255,X640
256,X1175
257,X1240
258,X2370
259,X2385
260,X630
261,X1230
262,X1440
263,X525
264,X550
265,X2360
266,X1555
267,X1945
268,X545
269,X1540
270,X530
271,X1580
272,X560
273,X1710
274,X2350
275,X1550
276,X1850
277,X1925
278,X565
279,X2410
280,X1700
281,X2475
282,X1245
283,X535
284,X615
285,X635
286,X625
287,X2285
288,X1460
289,X2480
290,X600
291,X1225
292,X2260
293,X575
294,X2470
295,X2430
296,X2300
297,X1195
298,X610
299,X1535
